2.000000000000000000e+01 1.020684983939993771e+02
2.100000000000000000e+01 8.428132708784460192e+01
2.200000000000000000e+01 9.007969446476542430e+01
2.300000000000000000e+01 8.903825753822393096e+01
2.400000000000000000e+01 9.351117947943268405e+01
2.500000000000000000e+01 8.680681955406966210e+01
2.600000000000000000e+01 8.451923016596369109e+01
2.700000000000000000e+01 1.020596534949493304e+02
2.800000000000000000e+01 7.881831755962608099e+01
2.900000000000000000e+01 1.094012205705610654e+02
3.000000000000000000e+01 1.102881349408935989e+02
3.100000000000000000e+01 1.021099946671341741e+02
3.200000000000000000e+01 1.128869530944922417e+02
3.300000000000000000e+01 1.064112794378953453e+02
3.400000000000000000e+01 1.076676278369908175e+02
3.500000000000000000e+01 1.295505650926373562e+02
3.600000000000000000e+01 1.249079432237171545e+02
3.700000000000000000e+01 1.457875732411282854e+02
3.800000000000000000e+01 1.550596727979128104e+02
3.900000000000000000e+01 1.388350888553891309e+02
4.000000000000000000e+01 1.380266544858518216e+02
4.100000000000000000e+01 1.549372292520403391e+02
4.200000000000000000e+01 1.239391406926492323e+02
4.300000000000000000e+01 1.324088058445157117e+02
4.400000000000000000e+01 1.456515927939398694e+02
4.500000000000000000e+01 1.539052784273374073e+02
4.600000000000000000e+01 1.546690463609281210e+02
4.700000000000000000e+01 1.578450185928224130e+02
4.800000000000000000e+01 1.670770591425771272e+02
4.900000000000000000e+01 1.627295967531703980e+02
